sampleid,legendid,step,name,answer,x,y
1740347,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,122.6123257,9.604870233
1740347,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,122.6123257,9.604870233
1740347,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,122.6123257,9.604870233
1739108,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-37.79624137,-12.07057926
1739108,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-37.79624137,-12.07057926
1739108,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Pasture,-37.79624137,-12.07057926
1739666,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Other natural disturbances/No tree-loss driver,-4.26213181,9.700091653
1739666,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),No other tree loss driver,-4.26213181,9.700091653
1739666,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-4.26213181,9.700091653
1739063,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,-51.52519385,-26.04567013
1739063,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-51.52519385,-26.04567013
1739063,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-51.52519385,-26.04567013
1738129,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,90.5945723,25.69010371
1738129,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,90.5945723,25.69010371
1738129,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,90.5945723,25.69010371
1738485,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Managed forest/forestry,75.80650609,13.18645327
1738485,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,75.80650609,13.18645327
1738485,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,75.80650609,13.18645327
1738448,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-61.15154044,-17.58443847
1738448,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-61.15154044,-17.58443847
1738448,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Pasture,-61.15154044,-17.58443847
1739354,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,3.852350151,7.09677396
1739354,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,3.852350151,7.09677396
